# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.duration,1758695311046000000,1758695351100000000,0
cacheStateStorage.set.counter,1758695311046000000,1758695351100000000,0
cacheStateStorage.get.duration,1758695311046000000,1758695351100000000,0
cacheStateStorage.get.counter,1758695311046000000,1758695351100000000,10
workspaceModel.updates.count,1758695311046000000,1758695351100000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1758695311046000000,1758695351100000000,3
workspaceModel.cachedValueWithParameters.clear.count,1758695311046000000,1758695351100000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1758695311046000000,1758695351100000000,0
workspaceModel.init.bridges.ms,1758695311046000000,1758695351100000000,0
workspaceModel.check.recursive.update.ms,1758695311046000000,1758695351100000000,0
workspaceModel.collect.changes.ms,1758695311046000000,1758695351100000000,0
workspaceModel.cachedValue.clear.count,1758695311046000000,1758695351100000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1758695311046000000,1758695351100000000,0
workspaceModel.cachedValue.from.cache.count,1758695311046000000,1758695351100000000,4
workspaceModel.update.unloaded.entities.ms,1758695311046000000,1758695351100000000,0
workspaceModel.pre.handlers.ms,1758695311046000000,1758695351100000000,0
workspaceModel.updates.ms,1758695311046000000,1758695351100000000,0
workspaceModel.loading.total.ms,1758695311046000000,1758695351100000000,654
workspaceModel.to.snapshot.ms,1758695311046000000,1758695351100000000,0
workspaceModel.cachedValue.calculated.count,1758695311046000000,1758695351100000000,1
workspaceModel.replace.project.model.ms,1758695311046000000,1758695351100000000,0
workspaceModel.loading.from.cache.ms,1758695311046000000,1758695351100000000,571
workspaceModel.cachedValue.total.get.count,1758695311046000000,1758695351100000000,5
workspaceModel.on.before.changed.ms,1758695311046000000,1758695351100000000,0
workspaceModel.on.changed.ms,1758695311046000000,1758695351100000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1758695311046000000,1758695351100000000,0
workspaceModel.full.replace.project.model.ms,1758695311046000000,1758695351100000000,0
workspaceModel.updates.precise.ms,1758695311046000000,1758695351100000000,0
workspaceModel.initializing.ms,1758695311046000000,1758695351100000000,0
writeAction.max.wait.ms,1758695311046000000,1758695351100000000,1
writeAction.median.wait.ms,1758695311046000000,1758695351100000000,0
writeAction.wait.ms,1758695311046000000,1758695351100000000,1
writeAction.count,1758695311046000000,1758695351100000000,1
workspaceModel.global.updates.count,1758695311046000000,1758695351100000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1758695311046000000,1758695351100000000,2
jps.library.entities.serializer.save.entities.ms,1758695311046000000,1758695351100000000,0
jps.library.entities.serializer.load.entities.ms,1758695311046000000,1758695351100000000,1
workspaceModel.mutableEntityStorage.referrers.ms,1758695311046000000,1758695351100000000,0
jps.global.handle.changed.events.ms,1758695311046000000,1758695351100000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1758695311046000000,1758695351100000000,0
jps.load.initial.state.ms,1758695311046000000,1758695351100000000,34
workspaceModel.mutableEntityStorage.entities.by.source.ms,1758695311046000000,1758695351100000000,0
jps.global.get.libraries.ms,1758695311046000000,1758695351100000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1758695311046000000,1758695351100000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1758695311046000000,1758695351100000000,2
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1758695311046000000,1758695351100000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1758695311046000000,1758695351100000000,0
workspaceModel.do.save.caches.ms,1758695311046000000,1758695351100000000,0
workspaceModel.global.apply.state.to.project.ms,1758695311046000000,1758695351100000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1758695311046000000,1758695351100000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1758695311046000000,1758695351100000000,0
jps.global.handle.before.change.events.ms,1758695311046000000,1758695351100000000,0
jps.global.initialize.library.bridges.after.loading.ms,1758695311046000000,1758695351100000000,4
workspaceModel.global.updates.ms,1758695311046000000,1758695351100000000,0
workspaceModel.sync.entities.ms,1758695311046000000,1758695351100000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1758695311046000000,1758695351100000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1758695311046000000,1758695351100000000,0
workspaceModel.save.cache.to.file.ms,1758695311046000000,1758695351100000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1758695311046000000,1758695351100000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1758695311046000000,1758695351100000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1758695311046000000,1758695351100000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1758695311046000000,1758695351100000000,0
workspaceModel.load.cache.metadata.from.file.ms,1758695311046000000,1758695351100000000,0
workspaceModel.mutableEntityStorage.entities.ms,1758695311046000000,1758695351100000000,3
jps.global.get.library.ms,1758695311046000000,1758695351100000000,0
jps.global.initialize.library.bridges.ms,1758695311046000000,1758695351100000000,0
jps.app.storage.content.reader.load.component.ms,1758695311046000000,1758695351100000000,3
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1758695311046000000,1758695351100000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1758695311046000000,1758695351100000000,0
workspaceModel.mutableEntityStorage.instances.count,1758695311046000000,1758695351100000000,3
jps.global.get.library.by.name.ms,1758695311046000000,1758695351100000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1758695311046000000,1758695351100000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1758695311046000000,1758695351100000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1758695311046000000,1758695351100000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1758695311046000000,1758695351100000000,0
workspaceModel.load.cache.from.file.ms,1758695311046000000,1758695351100000000,9
workspaceModel.mutableEntityStorage.resolve.ms,1758695311046000000,1758695351100000000,0
jps.save.global.entities.ms,1758695311046000000,1758695351100000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1758695311046000000,1758695351100000000,41943040
MappedFileStorage.totalTimeSpentOnMappingUs,1758695311046000000,1758695351100000000,885168
FilePageCacheLockFree.housekeeperTurnsDone,1758695311046000000,1758695351100000000,0
FilePageCacheLockFree.totalBytesRead,1758695311046000000,1758695351100000000,0
FilePageCacheLockFree.totalPagesWriteMs,1758695311046000000,1758695351100000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1758695311046000000,1758695351100000000,0
FilePageCache.maxCacheSizeInBytes,1758695311046000000,1758695351100000000,199229440
FilePageCacheLockFree.totalHeapBytesReclaimed,1758695311046000000,1758695351100000000,0
FilePageCache.capacityInBytes,1758695311046000000,1758695351100000000,503316478
FilePageCacheLockFree.totalBytesRequested,1758695311046000000,1758695351100000000,0
FilePageCache.pageHits,1758695311046000000,1758695351100000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1758695311046000000,1758695351100000000,0
MappedFileStorage.storages,1758695311046000000,1758695351100000000,0
FilePageCacheLockFree.totalPagesReadMs,1758695311046000000,1758695351100000000,0
FilePageCacheLockFree.heapBytesInUse,1758695311046000000,1758695351100000000,0
DirectByteBufferAllocator.reclaimed,1758695311046000000,1758695351100000000,43
FilePageCache.totalPageDisposalsUs,1758695311046000000,1758695351100000000,8607
FilePageCacheLockFree.housekeeperTurnsSkipped,1758695311046000000,1758695351100000000,0
FilePageCache.disposedBuffers,1758695311046000000,1758695351100000000,193
MappedFileStorage.totalPagesMapped,1758695311046000000,1758695351100000000,0
StorageLockContext.competingThreads.max,1758695311046000000,1758695351100000000,5
FilePageCache.maxRegisteredFiles,1758695311046000000,1758695351100000000,529
FilePageCacheLockFree.totalHeapBytesAllocated,1758695311046000000,1758695351100000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1758695311046000000,1758695351100000000,0
FilePageCache.uncachedFileAccess,1758695311046000000,1758695351100000000,328
FilePageCacheLockFree.totalNativeBytesAllocated,1758695311046000000,1758695351100000000,0
FilePageCacheLockFree.totalPagesRequested,1758695311046000000,1758695351100000000,0
FilePageCacheLockFree.totalPagesHandedOver,1758695311046000000,1758695351100000000,0
FilePageCacheLockFree.totalPagesReclaimed,1758695311046000000,1758695351100000000,0
StorageLockContext.competingThreads.avg,1758695311046000000,1758695351100000000,0.09859154929577464
FilePageCacheLockFree.totalClosedStoragesReclaimed,1758695311046000000,1758695351100000000,0
FilePageCacheLockFree.totalPagesAllocated,1758695311046000000,1758695351100000000,0
FilePageCache.pageLoads,1758695311046000000,1758695351100000000,193
FilePageCacheLockFree.housekeeperTimeSpentMs,1758695311046000000,1758695351100000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1758695311046000000,1758695351100000000,0
MappedFileStorage.totalBytesMapped,1758695311046000000,1758695351100000000,0
FilePageCache.pageFastCacheHits,1758695311046000000,1758695351100000000,13391
DirectByteBufferAllocator.disposed,1758695311046000000,1758695351100000000,150
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1758695311046000000,1758695351100000000,41943040
FilePageCacheLockFree.nativeBytesInUse,1758695311046000000,1758695351100000000,0
StorageLockContext.competingThreads.90P,1758695311046000000,1758695351100000000,0
FilePageCacheLockFree.totalBytesWritten,1758695311046000000,1758695351100000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1758695311046000000,1758695351100000000,0
FilePageCacheLockFree.totalPagesWritten,1758695311046000000,1758695351100000000,0
DirectByteBufferAllocator.misses,1758695311046000000,1758695351100000000,190
DirectByteBufferAllocator.hits,1758695311046000000,1758695351100000000,3
FilePageCache.totalPageLoadsUs,1758695311046000000,1758695351100000000,318085
VFS.fileChildByName,1758695311046000000,1758695351100000000,13
VFS.fileByIdCache.hits,1758695311046000000,1758695351100000000,0
VFS.fileByIdCache.misses,1758695311046000000,1758695351100000000,0
VFS.invertedFileNameIndex.requests,1758695311046000000,1758695351100000000,0
AWTEventQueue.dispatchTimeMaxNs,1758695311046000000,1758695351100000000,32749125631
AWTEventQueue.eventsDispatched,1758695311046000000,1758695351100000000,1410
FlushQueue.queueSize90P,1758695311046000000,1758695351100000000,433
WriteAction.executionsCount,1758695311046000000,1758695351100000000,1
FlushQueue.waitingTimeMaxNs,1758695311046000000,1758695351100000000,27917287423
FlushQueue.executionTimeMaxNs,1758695311046000000,1758695351100000000,32749125631
FlushQueue.tasksExecuted,1758695311046000000,1758695351100000000,534
AWTEventQueue.dispatchTimeAvgNs,1758695311046000000,1758695351100000000,2.4045036232624114E7
ReadAction.executionsCount,1758695311046000000,1758695351100000000,45775
FlushQueue.waitingTime90PNs,1758695311046000000,1758695351100000000,18656264191
NonBlockingReadAction.failedExecutionTimeUs,1758695311046000000,1758695351100000000,0
FlushQueue.queueSizeAvg,1758695311046000000,1758695351100000000,240.8558052434457
FlushQueue.executionTime90PNs,1758695311046000000,1758695351100000000,1925119
AWTEventQueue.dispatchTimeTotalNS,1758695311046000000,1758695351100000000,33896817436
NonBlockingReadAction.finalizedExecutionTimeUs,1758695311046000000,1758695351100000000,261149
NonBlockingReadAction.failedExecutionsCount,1758695311046000000,1758695351100000000,0
FlushQueue.waitingTimeAvgNs,1758695311046000000,1758695351100000000,8.813490419595505E9
FlushQueue.executionTimeAvgNs,1758695311046000000,1758695351100000000,6.2976206284644194E7
AWTEventQueue.dispatchTime90PNs,1758695311046000000,1758695351100000000,518143
FlushQueue.queueSizeMax,1758695311046000000,1758695351100000000,481
NonBlockingReadAction.finalizedExecutionsCount,1758695311046000000,1758695351100000000,17
